Kategori,Tipe,Icon_SF_Lucide,Contoh
Makanan & Minuman,Pengeluaran,utensils,Makan siang / kopi / groceries
Transport,Pengeluaran,car,Bensin / ojol / parkir / tol
Belanja,Pengeluaran,shopping-bag,Pakaian / elektronik / online shopping
Hiburan,Pengeluaran,play-circle,Bioskop / game / nongkrong
Tagihan & Langganan,Pengeluaran,file-text,Listrik / internet / Netflix / Spotify
Kesehatan,Pengeluaran,heart,Obat / dokter / vitamin / olahraga
Pendidikan,Pengeluaran,graduation-cap,Kursus / buku / seminar
Sosial,Pengeluaran,users,Traktir / kado / sumbangan
Lainnya,Pengeluaran,more-horizontal,Tidak masuk kategori manapun
Gaji,Pemasukan,arrow-down-left,Gaji bulanan
Bonus / THR,Pemasukan,gift,Bonus kinerja / THR
Freelance,Pemasukan,briefcase,Proyek sampingan
Penjualan,Pemasukan,tag,Jual barang bekas
Hadiah,Pemasukan,heart,Uang dari orang tua / hadiah
Pengembalian Dana,Pemasukan,rotate-ccw,Refund / reimburse
